Source,Winner,Winner Score,Loser,Loser Score,GameCode,GameID,AwayCode,Away Short Name,Away Long Name,HomeCode,Home Short Name,Home Long Name,AwayScore,HomeScore,Spread,Total
oddstrader,Bengals,18,Broncos,24,CINDEN,4765737,CIN,Bengals,Cincinnati Bengals,DEN,Broncos,Denver Broncos,18,24,-7.5,44.5
NFLSpinzone,Packers,31,Cowboys,27,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,31,27,6.5,48
NFLSpinzone,Bills,34,Saints,10,NOBUF,4765724,NO,Saints,New Orleans Saints,BUF,Bills,Buffalo Bills,10,34,-15,48
NFLSpinzone,Steelers,22,Vikings,20,MINPIT,4765634,MIN,Vikings,Minnesota Vikings,PIT,Steelers,Pittsburgh Steelers,20,22,2.5,41
NFLSpinzone,Rams,31,Colts,27,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,27,27,-3.5,49
NFLSpinzone,Buccaneers,26,Eagles,23,PHITB,4765728,PHI,Eagles,Philadelphia Eagles,TB,Buccaneers,Tampa Bay Buccaneers,23,26,3.5,44
NFLSpinzone,Commanders,23,Falcons,19,WASATL,4765727,WAS,Commanders,Washington Commanders,ATL,Falcons,Atlanta Falcons,23,19,-1,45.5
NFLSpinzone,49ers,24,Jaguars,20,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,20,24,-3,47
NFLSpinzone,Broncos,31,Bengals,15,CINDEN,4765737,CIN,Bengals,Cincinnati Bengals,DEN,Broncos,Denver Broncos,15,31,-7.5,44.5
NFLSpinzone,Seahawks,27,Cardinals,23,SEAARI,4765723,SEA,Seahawks,Seattle Seahawks,ARI,Cardinals,Arizona Cardinals,27,23,1.5,44
NFLSpinzone,Bears,27,Raiders,20,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,27,20,-1,48
NFLSpinzone,Chargers,24,Giants,21,LACNYG,4765730,LAC,Chargers,Los Angeles Chargers,NYG,N.Y. Giants,New York Giants,24,21,6,43.5
NFLSpinzone,Ravens,27,Chiefs,24,BALKC,4765734,BAL,Ravens,Baltimore Ravens,KC,Chiefs,Kansas City Chiefs,27,24,2.5,48.5
NFLSpinzone,Lions,27,Browns,16,CLEDET,4765726,CLE,Browns,Cleveland Browns,DET,Lions,Detroit Lions,16,27,-10,44
NFLSpinzone,Patriots,23,Panthers,20,CARNE,4765729,CAR,Panthers,Carolina Panthers,NE,Patriots,New England Patriots,20,23,-5,43
NFLSpinzone,Texans,22,Titans,18,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,18,22,-7,38.5
NFLSpinzone,DOLPHINS,30,JETS,26,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,26,30,-2.5,44.5
MaldonadoESPN,Texans,17,Titans,10,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,10,17,-7,38.5
MoodyESPN,Texans,23,Titans,17,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,17,23,-7,38.5
WalderESPN,Texans,27,Titans,17,TENHOU,4765725,TEN,Titans,Tennessee Titans,HOU,Texans,Houston Texans,17,27,-7,38.5
MaldonadoESPN,Rams,31,Colts,27,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,27,27,-3.5,49
MoodyESPN,Colts,28,Rams,24,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,28,24,-3.5,49
WalderESPN,Rams,24,Colts,16,INDLAR,4765732,IND,Colts,Indianapolis Colts,LAR,L.A. Rams,Los Angeles Rams,16,16,-3.5,49
MaldonadoESPN,49ers,20,Jaguars,10,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,10,20,-3,47
MoodyESPN,49ers,28,Jaguars,21,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,21,28,-3,47
WalderESPN,49ers,23,Jaguars,17,JACSF,4765731,JAC,Jaguars,Jacksonville Jaguars,SF,49ers,San Francisco 49ers,17,23,-3,47
MaldonadoESPN,Ravens,21,Chiefs,20,BALKC,4765734,BAL,Ravens,Baltimore Ravens,KC,Chiefs,Kansas City Chiefs,21,20,2.5,48.5
MoodyESPN,Ravens,31,Chiefs,26,BALKC,4765734,BAL,Ravens,Baltimore Ravens,KC,Chiefs,Kansas City Chiefs,31,26,2.5,48.5
WalderESPN,Ravens,31,Chiefs,20,BALKC,4765734,BAL,Ravens,Baltimore Ravens,KC,Chiefs,Kansas City Chiefs,31,20,2.5,48.5
MaldonadoESPN,Bears,34,Raiders,24,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,34,24,-1,48
MoodyESPN,Bears,21,Raiders,20,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,21,20,-1,48
WalderESPN,Bears,34,Raiders,31,CHILV,4765733,CHI,Bears,Chicago Bears,LV,Raiders,Las Vegas Raiders,34,31,-1,48
MaldonadoESPN,Packers,34,Cowboys,17,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,34,17,6.5,48
MoodyESPN,Packers,31,Cowboys,24,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,31,24,6.5,48
WalderESPN,Packers,27,Cowboys,24,GBDAL,4765735,GB,Packers,Green Bay Packers,DAL,Cowboys,Dallas Cowboys,27,24,6.5,48
MaldonadoESPN,Dolphins,30,Jets,14,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,14,30,-2.5,44.5
MoodyESPN,Dolphins,30,Jets,26,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,26,30,-2.5,44.5
WalderESPN,Jets,20,Dolphins,17,NYJMIA,4765736,NYJ,Jets,New York Jets,MIA,Dolphins,Miami Dolphins,20,17,-2.5,44.5
MaldonadoESPN,Broncos,20,Bengals,19,CINDEN,4765737,CIN,Bengals,Cincinnati Bengals,DEN,Broncos,Denver Broncos,19,20,-7.5,44.5
MoodyESPN,Broncos,33,Bengals,17,CINDEN,4765737,CIN,Bengals,Cincinnati Bengals,DEN,Broncos,Denver Broncos,17,33,-7.5,44.5
WalderESPN,Bengals,23,Broncos,20,CINDEN,4765737,CIN,Bengals,Cincinnati Bengals,DEN,Broncos,Denver Broncos,23,20,-7.5,44.5
